name,price,originalPrice,description,category,brand,images,sizes,colors,rating,reviewCount,inStock,isNew,isOnSale,discount
Cable Knit Sweater,52.00,64.00,Classic cable knit,Tops,NorthPeak,"/assets/images/Cable Knit Sweater.jpg","S;M;L;XL","Cream;Sage",4.6,101,true,false,true,19
Merino Crew Sweater,69.00,89.00,Extra-fine merino wool,Tops,CityChic,"/assets/images/Merino Crew Sweater.jpg","S;M;L","Charcoal;Navy",4.7,111,true,false,true,22
Mock Neck Sweater,58.00,,Soft touch yarn,Tops,Everyday,"/assets/images/Mock Neck Sweater.jpg","S;M;L;XL","Black;Taupe",4.3,84,true,true,false,
Oxford Button-Down,55.00,,Washed oxford cloth,Tops,Coastline,"/assets/images/Oxford Button-Down.jpg","S;M;L;XL","White;Blue",4.4,92,true,true,false,
Flannel Shirt,48.00,,Brushed flannel,Tops,MountainBase,"/assets/images/Flannel Shirt.webp","S;M;L;XL","Red Check;Green Check",4.5,130,true,false,false,
Poplin Short Sleeve Shirt,42.00,,Crisp poplin,Tops,UrbanLine,"/assets/images/Poplin Short Sleeve Shirt.webp","S;M;L;XL","Sky;White",4.1,61,true,true,false,
Paperbag Waist Shorts,36.00,,Soft twill shorts,Bottoms,CityChic,"/assets/images/Paperbag Waist Shorts.jpg","XS;S;M;L","Sand;Terracotta",4.2,53,true,true,false,
Pleated Tailored Shorts,39.00,,Tailored pleat front,Bottoms,NorthPeak,"/assets/images/Pleated Tailored Shorts.jpeg","S;M;L","Navy;Beige",4.0,40,true,false,false,
Wide Leg Trousers,68.00,84.00,High-rise drape,Bottoms,TrendLab,"/assets/images/Wide Leg Trousers.jpg","S;M;L;XL","Black;Cream",4.4,77,true,false,true,19
A-Line Skirt,44.00,,Knee-length A-line,Bottoms,MeadowWear,"/assets/images/A-Line Skirt.webp","XS;S;M;L","Navy;Blush",4.2,58,true,true,false,
Ponte Pencil Skirt,49.00,,Stretch ponte knit,Bottoms,CityChic,"/assets/images/Ponte Pencil Skirt.jpeg","XS;S;M;L","Black;Grey",4.3,72,true,false,false,
Wrap Cardigan,57.00,,Tie-waist knit,Tops,MeadowWear,"/assets/images/Wrap Cardigan.jpg","S;M;L;XL","Oat;Charcoal",4.4,83,true,true,false,
Ribbed Turtleneck,46.00,,Fine rib knit,Tops,Everyday,"/assets/images/Ribbed Turtleneck.webp","XS;S;M;L","Black;Ivory",4.5,96,true,false,false,
Quilted Liner Jacket,89.00,109.00,Light liner jacket,Outerwear,UrbanLine,"/assets/images/Quilted Liner Jacket.avif","S;M;L","Black;Olive",4.3,68,true,true,true,18

